#options: 1280x720 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=100 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:60 out:57 type:P dur:2 cpbdur:2 q:42.57 aq:32.14 tex:5433 mv:2936 misc:1471 imb:200 pmb:252 smb:3148 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:42.75 aq:35.20 tex:106 mv:384 misc:454 imb:0 pmb:43 smb:3557 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:42.84 aq:38.83 tex:42 mv:25 misc:245 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:42.66 aq:28.00 tex:0 mv:21 misc:235 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:42.50 aq:34.14 tex:3691 mv:2048 misc:1205 imb:67 pmb:213 smb:3320 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:42.53 aq:26.00 tex:10 mv:386 misc:468 imb:0 pmb:46 smb:3554 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:42.55 aq:28.00 tex:1 mv:30 misc:241 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:42.51 aq:28.00 tex:0 mv:10 misc:230 imb:0 pmb:1 smb:3599 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:42.36 aq:33.20 tex:3944 mv:2122 misc:1246 imb:75 pmb:219 smb:3306 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:42.43 aq:35.41 tex:51 mv:435 misc:450 imb:0 pmb:43 smb:3557 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:42.46 aq:27.00 tex:0 mv:20 misc:236 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:42.39 aq:27.00 tex:2 mv:29 misc:241 imb:0 pmb:3 smb:3597 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:41.98 aq:32.87 tex:4393 mv:2154 misc:1277 imb:76 pmb:246 smb:3278 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:42.17 aq:29.55 tex:43 mv:390 misc:471 imb:0 pmb:46 smb:3554 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:42.27 aq:27.00 tex:0 mv:25 misc:239 imb:0 pmb:2 smb:3598 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:42.08 aq:34.68 tex:39 mv:32 misc:257 imb:0 pmb:4 smb:3596 d:- ref:0 ;
in:76 out:73 type:P dur:2 cpbdur:2 q:41.64 aq:31.41 tex:4966 mv:2433 misc:1329 imb:73 pmb:287 smb:3240 d:- ref:0 ;
in:74 out:74 type:B dur:2 cpbdur:2 q:41.81 aq:36.29 tex:101 mv:488 misc:499 imb:2 pmb:52 smb:3546 d:- ref:0 ;
